    x     log10(abs_err)
1.0000e-01 -1.3745e+00
2.0000e-01 -1.2778e+00
3.0000e-01 -1.2873e+00
4.0000e-01 -1.3356e+00
5.0000e-01 -1.4071e+00
6.0000e-01 -1.5005e+00
7.0000e-01 -1.6237e+00
8.0000e-01 -1.7985e+00
9.0000e-01 -2.0971e+00
