    x        v
0.0000e+00 0.0000e+00
1.0000e-01 4.8991e-01
2.0000e-01 6.1195e-01
3.0000e-01 5.9865e-01
4.0000e-01 5.3556e-01
5.0000e-01 4.5415e-01
6.0000e-01 3.6601e-01
7.0000e-01 2.7539e-01
8.0000e-01 1.8386e-01
9.0000e-01 9.1991e-02
1.0000e+00 0.0000e+00
