    x        v
0.0000e+00 0.0000e+00
9.0909e-02 1.7886e+00
1.8182e-01 1.7800e+00
2.7273e-01 1.6091e+00
3.6364e-01 1.3728e+00
4.5455e-01 1.1101e+00
5.4545e-01 8.3681e-01
6.3636e-01 5.5925e-01
7.2727e-01 2.7997e-01
8.1818e-01 2.9684e-319
9.0909e-01 0.0000e+00
